date,d18O,sst
1985-01-01,-4.755888889,25.26362440607504
1985-01-31,-4.964,26.681316160746434
1985-03-02,-5.214,28.38436285039603
1985-04-02,-5.125111111,27.778835137763707
1985-05-02,-4.963179487,26.67572667295257
1985-07-02,-4.543444444,23.816413170908252
1985-08-01,-4.425948718,23.016010342059143
1985-09-01,-4.381076923,22.710335294325603
1985-11-01,-4.504941176,23.554121718475884
1985-12-01,-4.593176471,24.155197026715904
1986-01-01,-4.683058824,24.76749240165417
1986-01-31,-4.874235294,26.069822219143752
1986-04-02,-4.907333333,26.295292242155135
1986-05-02,-4.739843137,25.154317746768882
1986-06-02,-4.558470588,23.91877407009784
1986-07-02,-4.378196078,22.69071044016303
1986-09-01,-4.152705882,21.154629112778075
1986-10-01,-4.288266667,22.078094497340278
1986-11-01,-4.429933333,23.04315428360026
1986-12-01,-4.5812,24.073611069554968
1987-01-01,-4.739533333,25.152207304062316
1987-01-31,-4.886866667,26.155869491037272
1987-04-02,-5.078533333,27.461538615227177
1987-05-02,-4.957733333,26.638626454788486
1987-06-02,-4.7744,25.389725551316175
1987-07-02,-4.6318,24.41830771954005
1987-09-01,-4.4818,23.396479705750288
1987-10-01,-4.49525,23.48810361765344
1987-11-01,-4.51027451,23.59045338572987
1987-12-01,-4.515176471,23.623846459545234
1988-01-01,-4.524,23.683953986963143
1988-01-31,-4.774,25.387000676612736
1988-03-01,-5.024,27.09004736626234
1988-04-01,-5.0605,27.338692182951178
1988-05-01,-5.07654902,27.448021104483658
1988-06-01,-4.836352941,25.81176055565261
1988-07-02,-4.599843137,24.200611600565104
1988-08-31,-4.580235294,24.06703931211583
1988-10-01,-4.603238095,24.223738688498702
1988-12-01,-4.743428571,25.178742392787505
1989-01-01,-4.954533333,26.616827457160973
1989-01-31,-5.237866667,28.54694704330531
1989-03-02,-5.260857143,28.703562459486385
1989-04-02,-5.196809524,28.267258117414826
1989-05-02,-4.952761905,26.604760158795564
1989-06-02,-4.744,25.182635073854783
1989-07-02,-4.577333333,24.047270611817662
1989-08-01,-4.508285714,23.576905335953114
1989-09-01,-4.490428571,23.455259142862115
1989-10-01,-4.522533333,23.67396277744647
1989-11-01,-4.555866667,23.901035673941205
1989-12-01,-4.714,24.978269471096837
1990-01-01,-4.964,26.681316160746434
1990-01-31,-5.157533333,27.999701369156448
1990-03-02,-5.0867000000000004,27.517171476026462
1990-04-02,-5.015866667,27.034641582896462
1990-05-02,-4.848033333,25.891329567370242
1990-06-02,-4.6522,24.55727632941545
1990-08-01,-4.466933333,23.295205193668398
1990-09-01,-4.4211,22.98297996950337
1990-10-01,-4.455583333,23.217886873958307
1990-11-01,-4.494941176,23.4859998508899
1990-12-01,-4.583176471,24.08707515912992
1991-01-01,-4.672431373,24.695096220674323
1991-01-31,-4.824392157,25.73028146126535
1991-03-02,-4.976352941,26.765466701856383
1991-04-02,-4.959666667,26.651796687063232
1991-05-02,-4.933686275,26.474813404697642
1991-06-02,-4.820941176,25.706772734192974
1991-08-01,-4.505803922,23.55999890535312
1991-09-01,-4.304823529,22.190882933420617
1991-10-01,-4.3488,22.490458866856702
1991-11-01,-4.39825,22.827321502069395
1991-12-01,-4.445125,23.146642756378693
1992-01-01,-4.539733333,23.79113238969436
1992-01-31,-4.773066667,25.380642637908778
1992-04-01,-4.988977778,26.85146944929724
1992-05-01,-4.951916667,26.599002239684097
1992-06-01,-4.863375,25.99583986816247
1992-07-02,-4.736,25.128137579786
1992-08-01,-4.594695652,24.165545971408022
1992-10-01,-4.5476,23.844721594466066
1992-10-31,-4.6476,24.5259402703259
1992-12-01,-4.7212,25.027317215758742
1993-01-01,-4.775366667,25.396310667453555
1993-01-31,-4.828066667,25.755312909631684
1993-04-02,-4.919733333,26.37976335796175
1993-05-02,-4.771566667,25.37042435777088
1993-06-02,-4.5674,23.979602892286312
1993-08-01,-4.290933333,22.09626032415508
1993-09-01,-4.1826,21.35827342757765
1993-10-01,-4.2105,21.548333438142542
1993-11-01,-4.250431373,21.820353408545795
1993-12-01,-4.436705882,23.089290152220016
1994-01-01,-4.623607843,24.36250121610029
1994-01-31,-4.849098039,25.898582543485247
1994-03-02,-5.074588235,27.434663870870203
1994-04-02,-5.03425,27.159872280537968
1994-05-02,-4.979843137,26.789242568832492
1994-07-02,-4.618039216,24.324566688987314
1994-08-01,-4.495490196,23.48973987766411
1994-09-01,-4.372941176,22.6549130663409
