sst,Latitude,Longitude,Date,Data_Type,Site,Reef_Site,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,degree_heating_week_mmm_from_sst,dhw_threshold,DHW_value,accum_DHW_12weeks
28.16,-12.095,96.8805,1985-01-26,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.46352572964669747,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.89,-12.095,96.8805,1985-01-27,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.1935257296466979,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.03,-12.095,96.8805,1985-01-28,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.33352572964669847,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.68,-12.095,96.8805,1985-01-29,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.016474270353302956,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.46,-12.095,96.8805,1985-01-30,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.23647427035330182,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.43,-12.095,96.8805,1985-01-31,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.26647427035330296,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.58,-12.095,96.8805,1985-02-01,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.11647427035330438,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.64,-12.095,96.8805,1985-02-02,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.0564742703533021,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.66,-12.095,96.8805,1985-02-03,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,-0.03647427035330253,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
27.7,-12.095,96.8805,1985-02-04,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.003525729646696618,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.29,-12.095,96.8805,1985-02-05,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.5935257296466965,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.49,-12.095,96.8805,1985-02-06,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.7935257296466958,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.51,-12.095,96.8805,1985-02-07,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.8135257296466989,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.53,-12.095,96.8805,1985-02-08,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.8335257296466985,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.22,-12.095,96.8805,1985-02-09,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.5235257296466962,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
28.17,-12.095,96.8805,1985-02-10,Coral Core Sr/Ca Proxy,Cocos (Keeling) Islands,DAR3,28.359999366104603,2019-01-01,0.47352572964669903,0,0,1990,27.696474270353303,1985_to_1990,0,0,1,0,0
