sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,SCOTT_SL4_DHM
29.389615384615386,-14.0237,121.8604,1985-01-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Jan,-0.39381513647642663,0
29.525714285714287,-14.0237,121.8604,1985-02-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Feb,-0.25771623537752575,0
28.97483870967742,-14.0237,121.8604,1985-03-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Mar,-0.8085918114143915,0
29.591333333333335,-14.0237,121.8604,1985-04-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Apr,-0.19209718775847762,0
29.61193548387097,-14.0237,121.8604,1985-05-01,SCOTT_SL4,NOAA,29.783430521091812,1985-May,-0.17149503722084347,0
28.229,-14.0237,121.8604,1985-06-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Jun,-1.5544305210918132,0
26.607096774193547,-14.0237,121.8604,1985-07-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Jul,-3.1763337468982655,0
25.929032258064517,-14.0237,121.8604,1985-08-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Aug,-3.8543982630272957,0
27.173333333333332,-14.0237,121.8604,1985-09-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Sep,-2.6100971877584804,0
27.890967741935484,-14.0237,121.8604,1985-10-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Oct,-1.8924627791563289,0
28.722333333333335,-14.0237,121.8604,1985-11-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Nov,-1.0610971877584774,0
28.82516129032258,-14.0237,121.8604,1985-12-01,SCOTT_SL4,NOAA,29.783430521091812,1985-Dec,-0.9582692307692326,0
30.0841935483871,-14.0237,121.8604,1986-01-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Jan,0.3007630272952859,0.3007630272952859
29.755714285714287,-14.0237,121.8604,1986-02-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Feb,-0.027716235377525322,0
30.01483870967742,-14.0237,121.8604,1986-03-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Mar,0.23140818858560763,0.23140818858560763
30.257666666666665,-14.0237,121.8604,1986-04-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Apr,0.47423614557485294,0.7056443341604606
29.40516129032258,-14.0237,121.8604,1986-05-01,SCOTT_SL4,NOAA,29.783430521091812,1986-May,-0.3782692307692308,0
27.538666666666668,-14.0237,121.8604,1986-06-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Jun,-2.2447638544251447,0
26.695483870967742,-14.0237,121.8604,1986-07-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Jul,-3.0879466501240707,0
25.558064516129033,-14.0237,121.8604,1986-08-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Aug,-4.22536600496278,0
26.974666666666668,-14.0237,121.8604,1986-09-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Sep,-2.8087638544251448,0
27.12290322580645,-14.0237,121.8604,1986-10-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Oct,-2.6605272952853625,0
28.961,-14.0237,121.8604,1986-11-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Nov,-0.8224305210918139,0
29.583548387096773,-14.0237,121.8604,1986-12-01,SCOTT_SL4,NOAA,29.783430521091812,1986-Dec,-0.19988213399503962,0
29.996774193548386,-14.0237,121.8604,1987-01-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Jan,0.21334367245657404,0.21334367245657404
28.014285714285716,-14.0237,121.8604,1987-02-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Feb,-1.7691448068060964,0
29.115806451612904,-14.0237,121.8604,1987-03-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Mar,-0.667624069478908,0
28.926000000000002,-14.0237,121.8604,1987-04-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Apr,-0.8574305210918105,0
28.683870967741935,-14.0237,121.8604,1987-05-01,SCOTT_SL4,NOAA,29.783430521091812,1987-May,-1.0995595533498772,0
28.221333333333334,-14.0237,121.8604,1987-06-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Jun,-1.5620971877584786,0
26.876451612903224,-14.0237,121.8604,1987-07-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Jul,-2.906978908188588,0
26.20032258064516,-14.0237,121.8604,1987-08-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Aug,-3.583107940446652,0
26.500666666666667,-14.0237,121.8604,1987-09-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Sep,-3.282763854425145,0
27.041290322580647,-14.0237,121.8604,1987-10-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Oct,-2.7421401985111657,0
28.639666666666667,-14.0237,121.8604,1987-11-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Nov,-1.1437638544251456,0
28.80677419354839,-14.0237,121.8604,1987-12-01,SCOTT_SL4,NOAA,29.783430521091812,1987-Dec,-0.9766563275434237,0
29.498064516129034,-14.0237,121.8604,1988-01-01,SCOTT_SL4,NOAA,29.783430521091812,1988-Jan,-0.2853660049627784,0
29.712413793103448,-14.0237,121.8604,1988-02-01,SCOTT_SL4,NOAA,29.783430521091812,1988-Feb,-0.07101672798836489,0
30.678387096774195,-14.0237,121.8604,1988-03-01,SCOTT_SL4,NOAA,29.783430521091812,1988-Mar,0.8949565756823823,0.8949565756823823
29.543666666666667,-14.0237,121.8604,1988-04-01,SCOTT_SL4,NOAA,29.783430521091812,1988-Apr,-0.2397638544251457,0
