sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,SCOTT_SS3_DHM
30.26492820247527,-13.6369,122.0267,1980-01-01,SCOTT_SS3,GCM,30.391706731832727,1980-Jan,-0.12677852935745548,0
29.421589884264716,-13.6369,122.0267,1980-02-01,SCOTT_SS3,GCM,30.391706731832727,1980-Feb,-0.9701168475680113,0
29.955855461858935,-13.6369,122.0267,1980-03-01,SCOTT_SS3,GCM,30.391706731832727,1980-Mar,-0.4358512699737922,0
29.900039354960125,-13.6369,122.0267,1980-04-01,SCOTT_SS3,GCM,30.391706731832727,1980-Apr,-0.4916673768726021,0
29.346159042850616,-13.6369,122.0267,1980-05-01,SCOTT_SS3,GCM,30.391706731832727,1980-May,-1.0455476889821114,0
28.58965040842692,-13.6369,122.0267,1980-06-01,SCOTT_SS3,GCM,30.391706731832727,1980-Jun,-1.8020563234058073,0
27.403380732382498,-13.6369,122.0267,1980-07-01,SCOTT_SS3,GCM,30.391706731832727,1980-Jul,-2.988325999450229,0
27.059156479374053,-13.6369,122.0267,1980-08-01,SCOTT_SS3,GCM,30.391706731832727,1980-Aug,-3.332550252458674,0
27.966954676310223,-13.6369,122.0267,1980-09-01,SCOTT_SS3,GCM,30.391706731832727,1980-Sep,-2.4247520555225037,0
29.72438055469144,-13.6369,122.0267,1980-10-01,SCOTT_SS3,GCM,30.391706731832727,1980-Oct,-0.6673261771412875,0
30.230548159281412,-13.6369,122.0267,1980-11-01,SCOTT_SS3,GCM,30.391706731832727,1980-Nov,-0.16115857255131516,0
31.065983495404645,-13.6369,122.0267,1980-12-01,SCOTT_SS3,GCM,30.391706731832727,1980-Dec,0.6742767635719176,0.6742767635719176
30.37997947200652,-13.6369,122.0267,1981-01-01,SCOTT_SS3,GCM,30.391706731832727,1981-Jan,-0.011727259826205483,0
30.417442185538157,-13.6369,122.0267,1981-02-01,SCOTT_SS3,GCM,30.391706731832727,1981-Feb,0.025735453705429734,0.025735453705429734
30.402997170725175,-13.6369,122.0267,1981-03-01,SCOTT_SS3,GCM,30.391706731832727,1981-Mar,0.011290438892448407,0.03702589259787814
29.801896476745604,-13.6369,122.0267,1981-04-01,SCOTT_SS3,GCM,30.391706731832727,1981-Apr,-0.5898102550871229,0
29.19546373428837,-13.6369,122.0267,1981-05-01,SCOTT_SS3,GCM,30.391706731832727,1981-May,-1.1962429975443563,0
27.67336680094401,-13.6369,122.0267,1981-06-01,SCOTT_SS3,GCM,30.391706731832727,1981-Jun,-2.7183399308887175,0
27.090911373015373,-13.6369,122.0267,1981-07-01,SCOTT_SS3,GCM,30.391706731832727,1981-Jul,-3.3007953588173535,0
27.204680965792747,-13.6369,122.0267,1981-08-01,SCOTT_SS3,GCM,30.391706731832727,1981-Aug,-3.18702576603998,0
27.812703069051107,-13.6369,122.0267,1981-09-01,SCOTT_SS3,GCM,30.391706731832727,1981-Sep,-2.57900366278162,0
28.75237052671371,-13.6369,122.0267,1981-10-01,SCOTT_SS3,GCM,30.391706731832727,1981-Oct,-1.6393362051190152,0
29.975127919514975,-13.6369,122.0267,1981-11-01,SCOTT_SS3,GCM,30.391706731832727,1981-Nov,-0.41657881231775207,0
30.575964466218025,-13.6369,122.0267,1981-12-01,SCOTT_SS3,GCM,30.391706731832727,1981-Dec,0.18425773438529802,0.18425773438529802
30.684309928647934,-13.6369,122.0267,1982-01-01,SCOTT_SS3,GCM,30.391706731832727,1982-Jan,0.2926031968152074,0.47686093120050543
29.974207673754012,-13.6369,122.0267,1982-02-01,SCOTT_SS3,GCM,30.391706731832727,1982-Feb,-0.41749905807871457,0
30.14851225576093,-13.6369,122.0267,1982-03-01,SCOTT_SS3,GCM,30.391706731832727,1982-Mar,-0.24319447607179612,0
29.346427090962727,-13.6369,122.0267,1982-04-01,SCOTT_SS3,GCM,30.391706731832727,1982-Apr,-1.0452796408699996,0
29.026442127843058,-13.6369,122.0267,1982-05-01,SCOTT_SS3,GCM,30.391706731832727,1982-May,-1.3652646039896688,0
27.930918566385905,-13.6369,122.0267,1982-06-01,SCOTT_SS3,GCM,30.391706731832727,1982-Jun,-2.4607881654468216,0
27.01011706936744,-13.6369,122.0267,1982-07-01,SCOTT_SS3,GCM,30.391706731832727,1982-Jul,-3.381589662465288,0
26.75716418604697,-13.6369,122.0267,1982-08-01,SCOTT_SS3,GCM,30.391706731832727,1982-Aug,-3.634542545785756,0
27.745608393351237,-13.6369,122.0267,1982-09-01,SCOTT_SS3,GCM,30.391706731832727,1982-Sep,-2.6460983384814902,0
28.68313186399398,-13.6369,122.0267,1982-10-01,SCOTT_SS3,GCM,30.391706731832727,1982-Oct,-1.7085748678387453,0
29.680604616800945,-13.6369,122.0267,1982-11-01,SCOTT_SS3,GCM,30.391706731832727,1982-Nov,-0.7111021150317818,0
30.582142491494455,-13.6369,122.0267,1982-12-01,SCOTT_SS3,GCM,30.391706731832727,1982-Dec,0.1904357596617281,0.1904357596617281
30.552784581338205,-13.6369,122.0267,1983-01-01,SCOTT_SS3,GCM,30.391706731832727,1983-Jan,0.1610778495054781,0.3515136091672062
29.37788118634905,-13.6369,122.0267,1983-02-01,SCOTT_SS3,GCM,30.391706731832727,1983-Feb,-1.0138255454836766,0
29.220816273843088,-13.6369,122.0267,1983-03-01,SCOTT_SS3,GCM,30.391706731832727,1983-Mar,-1.170890457989639,0
29.56682236989339,-13.6369,122.0267,1983-04-01,SCOTT_SS3,GCM,30.391706731832727,1983-Apr,-0.8248843619393362,0
