sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,BRS05_DHM
28.060656738333332,-14.105,123.5357,1981-09-01,BRS05,CCI,29.844769964944444,1981-Sep,-1.7841132266111117,0
28.775155147096775,-14.105,123.5357,1981-10-01,BRS05,CCI,29.844769964944444,1981-Oct,-1.0696148178476683,0
29.467658488666668,-14.105,123.5357,1981-11-01,BRS05,CCI,29.844769964944444,1981-Nov,-0.37711147627777564,0
29.15612379451613,-14.105,123.5357,1981-12-01,BRS05,CCI,29.844769964944444,1981-Dec,-0.6886461704283136,0
29.709668362258064,-14.105,123.5357,1982-01-01,BRS05,CCI,29.844769964944444,1982-Jan,-0.1351016026863796,0
28.50249088857143,-14.105,123.5357,1982-02-01,BRS05,CCI,29.844769964944444,1982-Feb,-1.3422790763730141,0
29.219024461935483,-14.105,123.5357,1982-03-01,BRS05,CCI,29.844769964944444,1982-Mar,-0.6257455030089609,0
29.661658732333333,-14.105,123.5357,1982-04-01,BRS05,CCI,29.844769964944444,1982-Apr,-0.18311123261111106,0
28.369670056451614,-14.105,123.5357,1982-05-01,BRS05,CCI,29.844769964944444,1982-May,-1.4750999084928296,0
27.572327676333334,-14.105,123.5357,1982-06-01,BRS05,CCI,29.844769964944444,1982-Jun,-2.27244228861111,0
26.236121196129034,-14.105,123.5357,1982-07-01,BRS05,CCI,29.844769964944444,1982-Jul,-3.60864876881541,0
25.98612218032258,-14.105,123.5357,1982-08-01,BRS05,CCI,29.844769964944444,1982-Aug,-3.858647784621862,0
26.756992593666666,-14.105,123.5357,1982-09-01,BRS05,CCI,29.844769964944444,1982-Sep,-3.0877773712777774,0
27.582573477741935,-14.105,123.5357,1982-10-01,BRS05,CCI,29.844769964944444,1982-Oct,-2.262196487202509,0
29.175991821,-14.105,123.5357,1982-11-01,BRS05,CCI,29.844769964944444,1982-Nov,-0.6687781439444436,0
30.311607902580644,-14.105,123.5357,1982-12-01,BRS05,CCI,29.844769964944444,1982-Dec,0.46683793763619974,0.46683793763619974
29.451924772258064,-14.105,123.5357,1983-01-01,BRS05,CCI,29.844769964944444,1983-Jan,-0.3928451926863801,0
30.32606549964286,-14.105,123.5357,1983-02-01,BRS05,CCI,29.844769964944444,1983-Feb,0.4812955346984147,0.4812955346984147
29.496765923870967,-14.105,123.5357,1983-03-01,BRS05,CCI,29.844769964944444,1983-Mar,-0.3480040410734766,0
29.782658895,-14.105,123.5357,1983-04-01,BRS05,CCI,29.844769964944444,1983-Apr,-0.06211106994444293,0
28.14547414451613,-14.105,123.5357,1983-05-01,BRS05,CCI,29.844769964944444,1983-May,-1.6992958204283148,0
26.726325480666667,-14.105,123.5357,1983-06-01,BRS05,CCI,29.844769964944444,1983-Jun,-3.118444484277777,0
26.23773173612903,-14.105,123.5357,1983-07-01,BRS05,CCI,29.844769964944444,1983-Jul,-3.607038228815412,0
25.83515369032258,-14.105,123.5357,1983-08-01,BRS05,CCI,29.844769964944444,1983-Aug,-4.009616274621862,0
27.271993001666665,-14.105,123.5357,1983-09-01,BRS05,CCI,29.844769964944444,1983-Sep,-2.5727769632777786,0
28.074832841935486,-14.105,123.5357,1983-10-01,BRS05,CCI,29.844769964944444,1983-Oct,-1.7699371230089582,0
29.305328368666668,-14.105,123.5357,1983-11-01,BRS05,CCI,29.844769964944444,1983-Nov,-0.5394415962777757,0
29.508704203870966,-14.105,123.5357,1983-12-01,BRS05,CCI,29.844769964944444,1983-Dec,-0.33606576107347763,0
29.539992597096774,-14.105,123.5357,1984-01-01,BRS05,CCI,29.844769964944444,1984-Jan,-0.3047773678476702,0
29.327925267931036,-14.105,123.5357,1984-02-01,BRS05,CCI,29.844769964944444,1984-Feb,-0.5168446970134077,0
28.87095966967742,-14.105,123.5357,1984-03-01,BRS05,CCI,29.844769964944444,1984-Mar,-0.9738102952670253,0
29.345326742,-14.105,123.5357,1984-04-01,BRS05,CCI,29.844769964944444,1984-Apr,-0.49944322294444277,0
28.725477451935483,-14.105,123.5357,1984-05-01,BRS05,CCI,29.844769964944444,1984-May,-1.1192925130089613,0
27.536660766666667,-14.105,123.5357,1984-06-01,BRS05,CCI,29.844769964944444,1984-Jun,-2.3081091982777764,0
26.330315177419354,-14.105,123.5357,1984-07-01,BRS05,CCI,29.844769964944444,1984-Jul,-3.5144547875250893,0
26.20483083451613,-14.105,123.5357,1984-08-01,BRS05,CCI,29.844769964944444,1984-Aug,-3.6399391304283135,0
27.261327107666666,-14.105,123.5357,1984-09-01,BRS05,CCI,29.844769964944444,1984-Sep,-2.5834428572777774,0
28.16870195967742,-14.105,123.5357,1984-10-01,BRS05,CCI,29.844769964944444,1984-Oct,-1.6760680052670232,0
28.801659139,-14.105,123.5357,1984-11-01,BRS05,CCI,29.844769964944444,1984-Nov,-1.0431108259444422,0
29.050315413225807,-14.105,123.5357,1984-12-01,BRS05,CCI,29.844769964944444,1984-Dec,-0.794454551718637,0
29.13289598032258,-14.105,123.5357,1985-01-01,BRS05,CCI,29.844769964944444,1985-Jan,-0.7118739846218638,0
29.55142037464286,-14.105,123.5357,1985-02-01,BRS05,CCI,29.844769964944444,1985-Feb,-0.2933495903015846,0
29.342249519032258,-14.105,123.5357,1985-03-01,BRS05,CCI,29.844769964944444,1985-Mar,-0.5025204459121859,0
29.79665934166667,-14.105,123.5357,1985-04-01,BRS05,CCI,29.844769964944444,1985-Apr,-0.04811062327777549,0
28.877733588709678,-14.105,123.5357,1985-05-01,BRS05,CCI,29.844769964944444,1985-May,-0.9670363762347662,0
