sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,BRS07_DHM
28.59294803970866,-14.121,123.5467277,1985-01-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Jan,-0.4629196532395099,0
28.740101306963624,-14.121,123.5467277,1985-02-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Feb,-0.31576638598454565,0
28.88725457421853,-14.121,123.5467277,1985-03-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Mar,-0.16861311872963824,0
NA,NA,NA,1985-04-01,BRS07,Coral Core (NOAA),NA,1985 Apr,0,NA
28.409006455639968,-14.121,123.5467277,1985-05-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 May,-0.646861237308201,0
27.13980952556608,-14.121,123.5467277,1985-06-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Jun,-1.91605816738209,0
26.40404318929137,-14.121,123.5467277,1985-07-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Jul,-2.6518245036567976,0
26.882291307869934,-14.121,123.5467277,1985-08-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Aug,-2.173576385078235,0
NA,NA,NA,1985-09-01,BRS07,Coral Core (NOAA),NA,1985 Sep,0,NA
27.72842259458585,-14.121,123.5467277,1985-10-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Oct,-1.3274450983623183,0
27.94915249546827,-14.121,123.5467277,1985-11-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Nov,-1.1067151974799003,0
28.280247346791896,-14.121,123.5467277,1985-12-01,BRS07,Coral Core (NOAA),29.05586769294817,1985 Dec,-0.7756203461562734,0
28.72170714855673,-14.121,123.5467277,1986-01-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Jan,-0.3341605443914375,0
28.05951744590948,-14.121,123.5467277,1986-02-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Feb,-0.9963502470386878,0
28.629736356522415,-14.121,123.5467277,1986-03-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Mar,-0.4261313364257546,0
29.218349425542183,-14.121,123.5467277,1986-04-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Apr,0.16248173259401355,0.16248173259401355
28.64813051492925,-14.121,123.5467277,1986-05-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 May,-0.4077371780189196,0
27.78360506980644,-14.121,123.5467277,1986-06-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Jun,-1.272262623141728,0
NA,NA,NA,1986-07-01,BRS07,Coral Core (NOAA),NA,1986 Jul,0,NA
26.882291307869934,-14.121,123.5467277,1986-08-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Aug,-2.173576385078235,0
26.183313288408925,-14.121,123.5467277,1986-09-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Sep,-2.872554404539244,0
26.937473783090525,-14.121,123.5467277,1986-10-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Oct,-2.1183939098576445,0
NA,NA,NA,1986-11-01,BRS07,Coral Core (NOAA),NA,1986 Nov,0,NA
28.83207209899794,-14.121,123.5467277,1986-12-01,BRS07,Coral Core (NOAA),29.05586769294817,1986 Dec,-0.22379559395022852,0
29.770174177748203,-14.121,123.5467277,1987-01-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Jan,0.7143064848000336,0.7143064848000336
27.526086852110325,-14.121,123.5467277,1987-02-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Feb,-1.5297808408378444,0
27.820393386620196,-14.121,123.5467277,1987-03-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Mar,-1.2354743063279727,0
28.409006455639968,-14.121,123.5467277,1987-04-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Apr,-0.646861237308201,0
29.310320217576503,-14.121,123.5467277,1987-05-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 May,0.25445252462833423,0.25445252462833423
28.114699921130097,-14.121,123.5467277,1987-06-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Jun,-0.9411677718180727,0
27.15820368397297,-14.121,123.5467277,1987-07-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Jul,-1.8976640089751982,0
26.256889922036407,-14.121,123.5467277,1987-08-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Aug,-2.798977770911762,0
27.746816752992743,-14.121,123.5467277,1987-09-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Sep,-1.3090509399554264,0
27.76521091139961,-14.121,123.5467277,1987-10-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Oct,-1.2906567815485595,0
28.151488237943852,-14.121,123.5467277,1987-11-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Nov,-0.9043794550043174,0
28.684918831743005,-14.121,123.5467277,1987-12-01,BRS07,Coral Core (NOAA),29.05586769294817,1987 Dec,-0.37094886120516435,0
28.99761952465977,-14.121,123.5467277,1988-01-01,BRS07,Coral Core (NOAA),29.05586769294817,1988 Jan,-0.05824816828840085,0
29.199955267135294,-14.121,123.5467277,1988-02-01,BRS07,Coral Core (NOAA),29.05586769294817,1988 Feb,0.14408757418712526,0.14408757418712526
29.420685168017712,-14.121,123.5467277,1988-03-01,BRS07,Coral Core (NOAA),29.05586769294817,1988 Mar,0.3648174750695432,0.5089050492566685
29.016013683066603,-14.121,123.5467277,1988-04-01,BRS07,Coral Core (NOAA),29.05586769294817,1988 Apr,-0.039854009881565844,0
