sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,SCOTTSS1_DHM
29.393846153846155,-14.0788,121.978,1985-01-01,SCOTTSS1,NOAA,29.775909842845326,1985-Jan,-0.3820636889991711,0
29.516785714285714,-14.0788,121.978,1985-02-01,SCOTTSS1,NOAA,29.775909842845326,1985-Feb,-0.25912412855961264,0
29.02032258064516,-14.0788,121.978,1985-03-01,SCOTTSS1,NOAA,29.775909842845326,1985-Mar,-0.7555872622001658,0
29.603666666666665,-14.0788,121.978,1985-04-01,SCOTTSS1,NOAA,29.775909842845326,1985-Apr,-0.17224317617866092,0
29.638387096774192,-14.0788,121.978,1985-05-01,SCOTTSS1,NOAA,29.775909842845326,1985-May,-0.13752274607113435,0
28.275,-14.0788,121.978,1985-06-01,SCOTTSS1,NOAA,29.775909842845326,1985-Jun,-1.5009098428453278,0
26.642903225806453,-14.0788,121.978,1985-07-01,SCOTTSS1,NOAA,29.775909842845326,1985-Jul,-3.1330066170388733,0
25.950967741935482,-14.0788,121.978,1985-08-01,SCOTTSS1,NOAA,29.775909842845326,1985-Aug,-3.824942100909844,0
27.198666666666668,-14.0788,121.978,1985-09-01,SCOTTSS1,NOAA,29.775909842845326,1985-Sep,-2.5772431761786585,0
27.88967741935484,-14.0788,121.978,1985-10-01,SCOTTSS1,NOAA,29.775909842845326,1985-Oct,-1.8862324234904868,0
28.717,-14.0788,121.978,1985-11-01,SCOTTSS1,NOAA,29.775909842845326,1985-Nov,-1.0589098428453276,0
28.77225806451613,-14.0788,121.978,1985-12-01,SCOTTSS1,NOAA,29.775909842845326,1985-Dec,-1.0036517783291963,0
30.093870967741935,-14.0788,121.978,1986-01-01,SCOTTSS1,NOAA,29.775909842845326,1986-Jan,0.317961124896609,0.317961124896609
29.758928571428573,-14.0788,121.978,1986-02-01,SCOTTSS1,NOAA,29.775909842845326,1986-Feb,-0.01698127141675343,0
30.017741935483873,-14.0788,121.978,1986-03-01,SCOTTSS1,NOAA,29.775909842845326,1986-Mar,0.24183209263854621,0.24183209263854621
30.256666666666668,-14.0788,121.978,1986-04-01,SCOTTSS1,NOAA,29.775909842845326,1986-Apr,0.48075682382134133,0.7225889164598875
29.435806451612905,-14.0788,121.978,1986-05-01,SCOTTSS1,NOAA,29.775909842845326,1986-May,-0.3401033912324216,0
27.562,-14.0788,121.978,1986-06-01,SCOTTSS1,NOAA,29.775909842845326,1986-Jun,-2.213909842845325,0
26.68967741935484,-14.0788,121.978,1986-07-01,SCOTTSS1,NOAA,29.775909842845326,1986-Jul,-3.086232423490486,0
25.55258064516129,-14.0788,121.978,1986-08-01,SCOTTSS1,NOAA,29.775909842845326,1986-Aug,-4.223329197684038,0
26.930666666666667,-14.0788,121.978,1986-09-01,SCOTTSS1,NOAA,29.775909842845326,1986-Sep,-2.845243176178659,0
27.052258064516128,-14.0788,121.978,1986-10-01,SCOTTSS1,NOAA,29.775909842845326,1986-Oct,-2.7236517783291987,0
28.937333333333335,-14.0788,121.978,1986-11-01,SCOTTSS1,NOAA,29.775909842845326,1986-Nov,-0.8385765095119915,0
29.608064516129033,-14.0788,121.978,1986-12-01,SCOTTSS1,NOAA,29.775909842845326,1986-Dec,-0.16784532671629293,0
29.978387096774192,-14.0788,121.978,1987-01-01,SCOTTSS1,NOAA,29.775909842845326,1987-Jan,0.2024772539288655,0.2024772539288655
27.985357142857143,-14.0788,121.978,1987-02-01,SCOTTSS1,NOAA,29.775909842845326,1987-Feb,-1.790552699988183,0
29.09774193548387,-14.0788,121.978,1987-03-01,SCOTTSS1,NOAA,29.775909842845326,1987-Mar,-0.6781679073614555,0
28.934333333333335,-14.0788,121.978,1987-04-01,SCOTTSS1,NOAA,29.775909842845326,1987-Apr,-0.8415765095119916,0
28.711612903225806,-14.0788,121.978,1987-05-01,SCOTTSS1,NOAA,29.775909842845326,1987-May,-1.0642969396195205,0
28.266,-14.0788,121.978,1987-06-01,SCOTTSS1,NOAA,29.775909842845326,1987-Jun,-1.5099098428453281,0
26.896451612903228,-14.0788,121.978,1987-07-01,SCOTTSS1,NOAA,29.775909842845326,1987-Jul,-2.8794582299420988,0
26.249354838709678,-14.0788,121.978,1987-08-01,SCOTTSS1,NOAA,29.775909842845326,1987-Aug,-3.5265550041356484,0
26.501333333333335,-14.0788,121.978,1987-09-01,SCOTTSS1,NOAA,29.775909842845326,1987-Sep,-3.2745765095119914,0
27.017096774193547,-14.0788,121.978,1987-10-01,SCOTTSS1,NOAA,29.775909842845326,1987-Oct,-2.7588130686517793,0
28.65,-14.0788,121.978,1987-11-01,SCOTTSS1,NOAA,29.775909842845326,1987-Nov,-1.1259098428453278,0
28.813870967741934,-14.0788,121.978,1987-12-01,SCOTTSS1,NOAA,29.775909842845326,1987-Dec,-0.9620388751033921,0
29.479032258064517,-14.0788,121.978,1988-01-01,SCOTTSS1,NOAA,29.775909842845326,1988-Jan,-0.29687758478080895,0
29.70551724137931,-14.0788,121.978,1988-02-01,SCOTTSS1,NOAA,29.775909842845326,1988-Feb,-0.07039260146601478,0
30.658709677419356,-14.0788,121.978,1988-03-01,SCOTTSS1,NOAA,29.775909842845326,1988-Mar,0.8827998345740298,0.8827998345740298
29.570333333333334,-14.0788,121.978,1988-04-01,SCOTTSS1,NOAA,29.775909842845326,1988-Apr,-0.20557650951199236,0
29.831935483870968,-14.0788,121.978,1988-05-01,SCOTTSS1,NOAA,29.775909842845326,1988-May,0.05602564102564145,0.05602564102564145
