sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,SCOTTSS2_DHM
30.317778371995495,-13.9238,121.915,1980-01-01,SCOTTSS2,GCM,30.35379177243749,1980-Jan,-0.03601340044199475,0
29.38291411564268,-13.9238,121.915,1980-02-01,SCOTTSS2,GCM,30.35379177243749,1980-Feb,-0.9708776567948085,0
29.931007569836034,-13.9238,121.915,1980-03-01,SCOTTSS2,GCM,30.35379177243749,1980-Mar,-0.42278420260145566,0
29.922434488932293,-13.9238,121.915,1980-04-01,SCOTTSS2,GCM,30.35379177243749,1980-Apr,-0.4313572835051964,0
29.32265312440934,-13.9238,121.915,1980-05-01,SCOTTSS2,GCM,30.35379177243749,1980-May,-1.0311386480281506,0
28.52988764444987,-13.9238,121.915,1980-06-01,SCOTTSS2,GCM,30.35379177243749,1980-Jun,-1.8239041279876176,0
27.352564657888106,-13.9238,121.915,1980-07-01,SCOTTSS2,GCM,30.35379177243749,1980-Jul,-3.0012271145493834,0
26.97209518186508,-13.9238,121.915,1980-08-01,SCOTTSS2,GCM,30.35379177243749,1980-Aug,-3.3816965905724103,0
27.723822021484374,-13.9238,121.915,1980-09-01,SCOTTSS2,GCM,30.35379177243749,1980-Sep,-2.6299697509531157,0
29.614043205015122,-13.9238,121.915,1980-10-01,SCOTTSS2,GCM,30.35379177243749,1980-Oct,-0.7397485674223674,0
30.2714111328125,-13.9238,121.915,1980-11-01,SCOTTSS2,GCM,30.35379177243749,1980-Nov,-0.08238063962498998,0
31.071385168260143,-13.9238,121.915,1980-12-01,SCOTTSS2,GCM,30.35379177243749,1980-Dec,0.7175933958226537,0.7175933958226537
30.387873557306104,-13.9238,121.915,1981-01-01,SCOTTSS2,GCM,30.35379177243749,1981-Jan,0.03408178486861502,0.7516751806912687
30.36247158050537,-13.9238,121.915,1981-02-01,SCOTTSS2,GCM,30.35379177243749,1981-Feb,0.008679808067881822,0.7603549887591505
30.440639557376983,-13.9238,121.915,1981-03-01,SCOTTSS2,GCM,30.35379177243749,1981-Mar,0.08684778493949352,0.847202773698644
29.834854443868,-13.9238,121.915,1981-04-01,SCOTTSS2,GCM,30.35379177243749,1981-Apr,-0.5189373285694892,0
29.134015975459928,-13.9238,121.915,1981-05-01,SCOTTSS2,GCM,30.35379177243749,1981-May,-1.2197757969775616,0
27.568967056274413,-13.9238,121.915,1981-06-01,SCOTTSS2,GCM,30.35379177243749,1981-Jun,-2.784824716163076,0
27.00856497979933,-13.9238,121.915,1981-07-01,SCOTTSS2,GCM,30.35379177243749,1981-Jul,-3.345226792638158,0
27.049836743262507,-13.9238,121.915,1981-08-01,SCOTTSS2,GCM,30.35379177243749,1981-Aug,-3.3039550291749826,0
27.612893549601235,-13.9238,121.915,1981-09-01,SCOTTSS2,GCM,30.35379177243749,1981-Sep,-2.740898222836254,0
28.612819733158233,-13.9238,121.915,1981-10-01,SCOTTSS2,GCM,30.35379177243749,1981-Oct,-1.7409720392792565,0
29.951885922749838,-13.9238,121.915,1981-11-01,SCOTTSS2,GCM,30.35379177243749,1981-Nov,-0.4019058496876511,0
30.486222605551443,-13.9238,121.915,1981-12-01,SCOTTSS2,GCM,30.35379177243749,1981-Dec,0.1324308331139541,0.1324308331139541
30.60845996487525,-13.9238,121.915,1982-01-01,SCOTTSS2,GCM,30.35379177243749,1982-Jan,0.2546681924377623,0.3870990255517164
29.956806864057267,-13.9238,121.915,1982-02-01,SCOTTSS2,GCM,30.35379177243749,1982-Feb,-0.3969849083802224,0
30.172869159329323,-13.9238,121.915,1982-03-01,SCOTTSS2,GCM,30.35379177243749,1982-Mar,-0.18092261310816582,0
29.31861966451009,-13.9238,121.915,1982-04-01,SCOTTSS2,GCM,30.35379177243749,1982-Apr,-1.0351721079273979,0
28.987972751740486,-13.9238,121.915,1982-05-01,SCOTTSS2,GCM,30.35379177243749,1982-May,-1.3658190206970033,0
27.90724105834961,-13.9238,121.915,1982-06-01,SCOTTSS2,GCM,30.35379177243749,1982-Jun,-2.4465507140878806,0
26.971397153792843,-13.9238,121.915,1982-07-01,SCOTTSS2,GCM,30.35379177243749,1982-Jul,-3.3823946186446463,0
26.654056302962765,-13.9238,121.915,1982-08-01,SCOTTSS2,GCM,30.35379177243749,1982-Aug,-3.6997354694747244,0
27.569120534261067,-13.9238,121.915,1982-09-01,SCOTTSS2,GCM,30.35379177243749,1982-Sep,-2.784671238176422,0
28.622461072860226,-13.9238,121.915,1982-10-01,SCOTTSS2,GCM,30.35379177243749,1982-Oct,-1.7313306995772635,0
29.67977975209554,-13.9238,121.915,1982-11-01,SCOTTSS2,GCM,30.35379177243749,1982-Nov,-0.674012020341948,0
30.533279357417936,-13.9238,121.915,1982-12-01,SCOTTSS2,GCM,30.35379177243749,1982-Dec,0.17948758498044626,0.17948758498044626
30.523467094667495,-13.9238,121.915,1983-01-01,SCOTTSS2,GCM,30.35379177243749,1983-Jan,0.16967532223000603,0.3491629072104523
29.334596225193568,-13.9238,121.915,1983-02-01,SCOTTSS2,GCM,30.35379177243749,1983-Feb,-1.0191955472439211,0
29.160698244648596,-13.9238,121.915,1983-03-01,SCOTTSS2,GCM,30.35379177243749,1983-Mar,-1.1930935277888928,0
29.595135561625163,-13.9238,121.915,1983-04-01,SCOTTSS2,GCM,30.35379177243749,1983-Apr,-0.758656210812326,0
28.993557960756362,-13.9238,121.915,1983-05-01,SCOTTSS2,GCM,30.35379177243749,1983-May,-1.3602338116811268,0
