sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,13BND_DHM
25.416376726492047,-21.87,114.156,2009-11-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Nov,-2.899752305766018,0
26.163009168773925,-21.87,114.156,2009-12-01,13BND,Coral Core (NOAA),28.316129032258065,2009 Dec,-2.1531198634841395,0
25.998496935728767,-21.87,114.156,2010-01-01,13BND,Coral Core (NOAA),28.316129032258065,2010 Jan,-2.317632096529298,0
26.45406927339228,-21.87,114.156,2010-02-01,13BND,Coral Core (NOAA),28.316129032258065,2010 Feb,-1.862059758865783,0
26.69451022938135,-21.87,114.156,2010-03-01,13BND,Coral Core (NOAA),28.316129032258065,2010 Mar,-1.6216188028767142,0
NA,NA,NA,2010-04-01,13BND,Coral Core (NOAA),NA,2010 Apr,0,NA
NA,NA,NA,2010-05-01,13BND,Coral Core (NOAA),NA,2010 May,0,NA
25.062042686087096,-21.87,114.156,2010-06-01,13BND,Coral Core (NOAA),28.316129032258065,2010 Jun,-3.2540863461709684,0
NA,NA,NA,2010-07-01,13BND,Coral Core (NOAA),NA,2010 Jul,0,NA
NA,NA,NA,2010-08-01,13BND,Coral Core (NOAA),NA,2010 Aug,0,NA
22.17675121421823,-21.87,114.156,2010-09-01,13BND,Coral Core (NOAA),28.316129032258065,2010 Sep,-6.139377818039836,0
NA,NA,NA,2010-10-01,13BND,Coral Core (NOAA),NA,2010 Oct,0,NA
NA,NA,NA,2010-11-01,13BND,Coral Core (NOAA),NA,2010 Nov,0,NA
NA,NA,NA,2010-12-01,13BND,Coral Core (NOAA),NA,2010 Dec,0,NA
24.391338966749174,-21.87,114.156,2011-01-01,13BND,Coral Core (NOAA),28.316129032258065,2011 Jan,-3.9247900655088905,0
NA,NA,NA,2011-02-01,13BND,Coral Core (NOAA),NA,2011 Feb,0,NA
25.441686300806698,-21.87,114.156,2011-03-01,13BND,Coral Core (NOAA),28.316129032258065,2011 Mar,-2.874442731451367,0
NA,NA,NA,2011-04-01,13BND,Coral Core (NOAA),NA,2011 Apr,0,NA
NA,NA,NA,2011-05-01,13BND,Coral Core (NOAA),NA,2011 May,0,NA
NA,NA,NA,2011-06-01,13BND,Coral Core (NOAA),NA,2011 Jun,0,NA
23.48019429142215,-21.87,114.156,2011-07-01,13BND,Coral Core (NOAA),28.316129032258065,2011 Jul,-4.8359347408359135,0
NA,NA,NA,2011-08-01,13BND,Coral Core (NOAA),NA,2011 Aug,0,NA
22.59435919040979,-21.87,114.156,2011-09-01,13BND,Coral Core (NOAA),28.316129032258065,2011 Sep,-5.721769841848275,0
24.35337460527721,-21.87,114.156,2011-10-01,13BND,Coral Core (NOAA),28.316129032258065,2011 Oct,-3.9627544269808546,0
NA,NA,NA,2011-11-01,13BND,Coral Core (NOAA),NA,2011 Nov,0,NA
26.036461297200702,-21.87,114.156,2011-12-01,13BND,Coral Core (NOAA),28.316129032258065,2011 Dec,-2.2796677350573624,0
27.07415384410092,-21.87,114.156,2012-01-01,13BND,Coral Core (NOAA),28.316129032258065,2012 Jan,-1.241975188157145,0
NA,NA,NA,2012-02-01,13BND,Coral Core (NOAA),NA,2012 Feb,0,NA
NA,NA,NA,2012-03-01,13BND,Coral Core (NOAA),NA,2012 Mar,0,NA
27.28928522577536,-21.87,114.156,2012-04-01,13BND,Coral Core (NOAA),28.316129032258065,2012 Apr,-1.026843806482706,0
NA,NA,NA,2012-05-01,13BND,Coral Core (NOAA),NA,2012 May,0,NA
25.479650662278654,-21.87,114.156,2012-06-01,13BND,Coral Core (NOAA),28.316129032258065,2012 Jun,-2.8364783699794103,0
23.29037248406236,-21.87,114.156,2012-07-01,13BND,Coral Core (NOAA),28.316129032258065,2012 Jul,-5.025756548195705,0
NA,NA,NA,2012-08-01,13BND,Coral Core (NOAA),NA,2012 Aug,0,NA
22.974002805129373,-21.87,114.156,2012-09-01,13BND,Coral Core (NOAA),28.316129032258065,2012 Sep,-5.342126227128691,0
24.821601730098052,-21.87,114.156,2012-10-01,13BND,Coral Core (NOAA),28.316129032258065,2012 Oct,-3.4945273021600123,0
NA,NA,NA,2012-11-01,13BND,Coral Core (NOAA),NA,2012 Nov,0,NA
NA,NA,NA,2012-12-01,13BND,Coral Core (NOAA),NA,2012 Dec,0,NA
26.11239002014463,-21.87,114.156,2013-01-01,13BND,Coral Core (NOAA),28.316129032258065,2013 Jan,-2.2037390121134344,0
NA,NA,NA,2013-02-01,13BND,Coral Core (NOAA),NA,2013 Feb,0,NA
27.03618948262897,-21.87,114.156,2013-03-01,13BND,Coral Core (NOAA),28.316129032258065,2013 Mar,-1.2799395496290948,0
26.58061714496546,-21.87,114.156,2013-04-01,13BND,Coral Core (NOAA),28.316129032258065,2013 Apr,-1.7355118872926063,0
NA,NA,NA,2013-05-01,13BND,Coral Core (NOAA),NA,2013 May,0,NA
25.593543746694536,-21.87,114.156,2013-06-01,13BND,Coral Core (NOAA),28.316129032258065,2013 Jun,-2.722585285563529,0
