sst_monthly,Latitude,Longitude,monthly_date,Reef_Site,Data_Type,mmm_from_sst,date,anomaly,SCOTT_RPO_1_DHM
30.348986533380323,-14.0574,121.783,1980-01-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Jan,0.022282692039294005,0.022282692039294005
29.365714632231615,-14.0574,121.783,1980-02-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Feb,-0.9609892091094139,0
29.93160032456921,-14.0574,121.783,1980-03-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Mar,-0.3951035167718189,0
29.946528752644856,-14.0574,121.783,1980-04-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Apr,-0.38017508869617345,0
29.305611518121534,-14.0574,121.783,1980-05-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-May,-1.021092323219495,0
28.49283568064372,-14.0574,121.783,1980-06-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Jun,-1.8338681606973104,0
27.338118214761057,-14.0574,121.783,1980-07-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Jul,-2.9885856265799724,0
26.922982800391413,-14.0574,121.783,1980-08-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Aug,-3.403721040949616,0
27.54764569600423,-14.0574,121.783,1980-09-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Sep,-2.7790581453367977,0
29.509835766207786,-14.0574,121.783,1980-10-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Oct,-0.8168680751332431,0
30.290455627441407,-14.0574,121.783,1980-11-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Nov,-0.03624821389962207,0
31.072869454660722,-14.0574,121.783,1980-12-01,SCOTT_RPO_1,GCM,30.32670384134103,1980-Dec,0.7461656133196932,0.7461656133196932
30.384114542315082,-14.0574,121.783,1981-01-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Jan,0.057410700974052986,0.8035763142937462
30.34064177104405,-14.0574,121.783,1981-02-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Feb,0.013937929703022434,0.8175142439967686
30.482608302947014,-14.0574,121.783,1981-03-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Mar,0.15590446160598503,0.9734187056027537
29.868747584025066,-14.0574,121.783,1981-04-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Apr,-0.45795625731596346,0
29.085347267889208,-14.0574,121.783,1981-05-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-May,-1.2413565734518208,0
27.503528149922687,-14.0574,121.783,1981-06-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Jun,-2.823175691418342,0
26.95528725654848,-14.0574,121.783,1981-07-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Jul,-3.3714165847925486,0
26.934329432825887,-14.0574,121.783,1981-08-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Aug,-3.392374408515142,0
27.448996925354002,-14.0574,121.783,1981-09-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Sep,-2.8777069159870265,0
28.492718788885302,-14.0574,121.783,1981-10-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Oct,-1.833985052455727,0
29.926111221313477,-14.0574,121.783,1981-11-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Nov,-0.40059262002755247,0
30.43137611881379,-14.0574,121.783,1981-12-01,SCOTT_RPO_1,GCM,30.32670384134103,1981-Dec,0.10467227747276198,0.10467227747276198
30.58281098642657,-14.0574,121.783,1982-01-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Jan,0.2561071450855401,0.3607794225583021
29.99510301862444,-14.0574,121.783,1982-02-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Feb,-0.3316008227165881,0
30.232974021665513,-14.0574,121.783,1982-03-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Mar,-0.09372981967551652,0
29.312301254272462,-14.0574,121.783,1982-04-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Apr,-1.0144025870685667,0
28.97003173828125,-14.0574,121.783,1982-05-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-May,-1.356672103059779,0
27.90646743774414,-14.0574,121.783,1982-06-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Jun,-2.4202364035968884,0
26.959431617490708,-14.0574,121.783,1982-07-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Jul,-3.367272223850321,0
26.588151131906816,-14.0574,121.783,1982-08-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Aug,-3.738552709434213,0
27.422171719868977,-14.0574,121.783,1982-09-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Sep,-2.9045321214720516,0
28.568010084090695,-14.0574,121.783,1982-10-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Oct,-1.7586937572503345,0
29.68205477396647,-14.0574,121.783,1982-11-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Nov,-0.6446490673745586,0
30.49806804041709,-14.0574,121.783,1982-12-01,SCOTT_RPO_1,GCM,30.32670384134103,1982-Dec,0.17136419907605926,0.17136419907605926
30.506061738537205,-14.0574,121.783,1983-01-01,SCOTT_RPO_1,GCM,30.32670384134103,1983-Jan,0.17935789719617645,0.3507220962722357
29.32251685006278,-14.0574,121.783,1983-02-01,SCOTT_RPO_1,GCM,30.32670384134103,1983-Feb,-1.0041869912782495,0
29.157733178907826,-14.0574,121.783,1983-03-01,SCOTT_RPO_1,GCM,30.32670384134103,1983-Mar,-1.1689706624332032,0
