Reef,Site,CCI,GCM,NOAA,Chi-Square p-value
Houtman Abrolhos,HAB05B,21,8,12,0.0390113582129364
Houtman Abrolhos,HAB10A,21,8,12,0.0390113582129364
Scott Reef,SCOTT_RPO_1,8,7,19,0.020005166658159858
Scott Reef,SCOTTSL1,8,7,22,0.00333693451705703
