,CCI DHW,,,,NOAA DHW,,,,GCM DHW,,,
Reef,Balanced Accuracy,Sensitivity,Specificity,AUC,Balanced Accuracy,Sensitivity,Specificity,AUC,Balanced Accuracy,Sensitivity,Specificity,AUC
Browse Island,0.828571429,1,0.657142857,0.828571429,0.741935484,1,0.483870968,0.741935484,0.819444444,1,0.638888889,0.819444444
Cocos (Keeling) Islands,0.859375,1,0.71875,0.859375,0.803571429,0.75,0.857142857,0.803571429,0.553030303,0.5,0.606060606,0.553030303
Houtman Abrolhos,0.857142857,1,0.714285714,0.857142857,0.870967742,1,0.741935484,0.870967742,0.875,1,0.75,0.875
Ningaloo Reef,0.720588235,0.75,0.691176471,0.720588235,0.616666667,0.5,0.733333333,0.616666667,0.414285714,0,0.828571429,0.414285714
Scott Reef,0.725694444,0.75,0.701388889,0.725694444,0.630952381,0.75,0.511904762,0.630952381,0.798821549,0.833333333,0.764309764,0.798821549
