Reef,Site,CCI,GCM,NOAA,Chi-Square p-value
Browse Island,BRS07,844,285,926,7.135917992794985e-78
Cocos Keeling Island,DAR Long,337,0,73,1.304508540564212e-100
Houtman Abrolhos,HAB05B,445,289,343,2.5568770041638123e-8
Houtman Abrolhos,HAB10A,439,289,392,1.4206739408334973e-7
Ningaloo Reef,08BND and 13BND,337,129,314,1.906622942738589e-22
Ningaloo Reef,08TNT and 13TNT,553,81,451,8.554149926935373e-75
Scott Reef,SCOTT_RPO_1,618,409,780,1.1396931219177848e-25
Scott Reef,SCOTTSL1,643,411,854,2.96894783935823e-34
