Reef,Site,CCI,Coral Core (CCI),Coral Core (NOAA),GCM,NOAA,Chi-Square p-value
Browse Island,BRS07,1,0,2,5,4,0.1273384472897362
Cocos Keeling Island,DAR Long,1,0,0,7,0,1.1286467482400571e-4
Ningaloo Reef,08BND,1,2,0,0,0,0.25477265448360575
Ningaloo Reef,08TNT,2,0,0,0,1,0.25477265448360575
Ningaloo Reef,13BND,0,0,0,0,2,0.09157819444367084
Ningaloo Reef,13TNT,3,4,0,0,2,0.13013172579628504
