Reef,Site,CCI,GCM,NOAA,Chi-Square p-value
Browse Island,BRS07,24,15,30,0.08388899270179828
Cocos Keeling Island,DAR Long,22,25,8,0.011210447859532591
Ningaloo Reef,08BND,22,10,11,0.04536459809267645
Ningaloo Reef,08TNT,11,9,9,0.8711587695892687
Ningaloo Reef,13BND,22,10,11,0.04536459809267645
Ningaloo Reef,13TNT,11,9,9,0.8711587695892687
