Reef,Site,CCI,GCM,NOAA,Chi-Square p-value
Browse Island,BRS07,77,73,239,9.096606018548344e-31
Cocos Keeling Island,DAR Long,60,0,0,8.75651076269652e-27
Houtman Abrolhos,HAB05B,472,121,272,2.025653641304924e-47
Houtman Abrolhos,HAB10A,492,121,270,3.730459031974947e-52
Ningaloo Reef,08BND and 13BND,60,0,153,4.443414394444843e-37
Ningaloo Reef,08TNT and 13TNT,145,0,61,2.999881456681892e-34
Scott Reef,SCOTT_RPO_1,94,96,235,9.295970907399776e-21
Scott Reef,SCOTTSL1,104,71,246,1.7453775748377234e-27
