date,d18O,sst
1985-01-01,-4.755888889,25.26362440607504
1985-01-31,-4.964,26.681316160746437
1985-03-02,-5.214,28.384362850396034
1985-04-02,-5.125111111,27.778835137763707
1985-05-02,-4.963179487,26.675726672952575
1985-07-02,-4.543444444,23.816413170908255
1985-08-01,-4.425948718,23.01601034205915
1985-09-01,-4.381076923,22.71033529432561
1985-11-01,-4.504941176,23.55412171847589
1985-12-01,-4.593176471,24.15519702671591
1986-01-01,-4.683058824,24.767492401654174
1986-01-31,-4.874235294,26.06982221914376
1986-04-02,-4.907333333,26.295292242155135
1986-05-02,-4.739843137,25.154317746768886
1986-06-02,-4.558470588,23.918774070097843
1986-07-02,-4.378196078,22.690710440163038
1986-09-01,-4.152705882,21.154629112778082
1986-10-01,-4.288266667,22.078094497340285
1986-11-01,-4.429933333,23.043154283600263
1986-12-01,-4.5812,24.073611069554975
1987-01-01,-4.739533333,25.152207304062323
1987-01-31,-4.886866667,26.155869491037272
1987-04-02,-5.078533333,27.461538615227177
1987-05-02,-4.957733333,26.63862645478849
1987-06-02,-4.7744,25.389725551316182
1987-07-02,-4.6318,24.418307719540053
1987-09-01,-4.4818,23.396479705750295
1987-10-01,-4.49525,23.488103617653447
1987-11-01,-4.51027451,23.590453385729873
1987-12-01,-4.515176471,23.623846459545238
1988-01-01,-4.524,23.683953986963147
1988-01-31,-4.774,25.387000676612743
1988-03-01,-5.024,27.09004736626234
1988-04-01,-5.0605,27.33869218295118
1988-05-01,-5.07654902,27.448021104483658
1988-06-01,-4.836352941,25.81176055565261
1988-07-02,-4.599843137,24.200611600565107
1988-08-31,-4.580235294,24.067039312115835
1988-10-01,-4.603238095,24.223738688498706
1988-12-01,-4.743428571,25.178742392787512
1989-01-01,-4.954533333,26.616827457160973
1989-01-31,-5.237866667,28.546947043305305
1989-03-02,-5.260857143,28.70356245948638
1989-04-02,-5.196809524,28.267258117414826
1989-05-02,-4.952761905,26.604760158795564
1989-06-02,-4.744,25.18263507385479
1989-07-02,-4.577333333,24.047270611817666
1989-08-01,-4.508285714,23.57690533595312
1989-09-01,-4.490428571,23.45525914286212
1989-10-01,-4.522533333,23.673962777446473
1989-11-01,-4.555866667,23.901035673941212
1989-12-01,-4.714,24.97826947109684
1990-01-01,-4.964,26.681316160746437
1990-01-31,-5.157533333,27.999701369156448
1990-03-02,-5.0867000000000004,27.51717147602646
1990-04-02,-5.015866667,27.034641582896466
1990-05-02,-4.848033333,25.89132956737025
1990-06-02,-4.6522,24.55727632941546
1990-08-01,-4.466933333,23.295205193668405
1990-09-01,-4.4211,22.982979969503372
1990-10-01,-4.455583333,23.21788687395831
1990-11-01,-4.494941176,23.485999850889907
1990-12-01,-4.583176471,24.087075159129927
1991-01-01,-4.672431373,24.695096220674326
1991-01-31,-4.824392157,25.730281461265353
1991-03-02,-4.976352941,26.765466701856383
1991-04-02,-4.959666667,26.651796687063236
1991-05-02,-4.933686275,26.474813404697645
1991-06-02,-4.820941176,25.706772734192977
1991-08-01,-4.505803922,23.559998905353122
1991-09-01,-4.304823529,22.190882933420625
1991-10-01,-4.3488,22.49045886685671
1991-11-01,-4.39825,22.8273215020694
1991-12-01,-4.445125,23.1466427563787
1992-01-01,-4.539733333,23.791132389694365
1992-01-31,-4.773066667,25.38064263790878
1992-04-01,-4.988977778,26.851469449297245
1992-05-01,-4.951916667,26.5990022396841
1992-06-01,-4.863375,25.99583986816247
1992-07-02,-4.736,25.128137579786003
1992-08-01,-4.594695652,24.16554597140803
1992-10-01,-4.5476,23.84472159446607
1992-10-31,-4.6476,24.525940270325904
1992-12-01,-4.7212,25.027317215758746
1993-01-01,-4.775366667,25.396310667453555
1993-01-31,-4.828066667,25.75531290963169
1993-04-02,-4.919733333,26.37976335796175
1993-05-02,-4.771566667,25.370424357770883
1993-06-02,-4.5674,23.979602892286316
1993-08-01,-4.290933333,22.096260324155086
1993-09-01,-4.1826,21.358273427577657
1993-10-01,-4.2105,21.548333438142553
1993-11-01,-4.250431373,21.820353408545802
1993-12-01,-4.436705882,23.089290152220023
1994-01-01,-4.623607843,24.362501216100295
1994-01-31,-4.849098039,25.89858254348525
1994-03-02,-5.074588235,27.434663870870203
1994-04-02,-5.03425,27.15987228053797
1994-05-02,-4.979843137,26.789242568832492
1994-07-02,-4.618039216,24.324566688987318
1994-08-01,-4.495490196,23.489739877664114
1994-09-01,-4.372941176,22.654913066340907
