date,d18O,sst
1985-01-01,-3.203081814,21.220307950320162
1986-01-01,-2.966840898,20.69205842376304
1988-01-01,-3.245046377,21.314143348998208
1989-01-01,-3.863534447,22.697121520987377
1990-01-01,-3.707308861,22.347791298103342
1992-01-01,-3.397793035,21.65569447036146
1993-01-01,-3.514622485,21.91693245866332
1994-01-01,-3.582624645,22.068989559664665
1995-01-01,-3.608920444,22.127788617877727
1996-01-01,-3.648384527,22.216032786219678
1997-01-01,-3.703068918,22.33831051924292
1998-01-01,-3.626206365,22.166441022968947
1999-01-01,-3.502487008,21.88979676985743
2000-01-01,-3.795477928,22.544942869847723
2001-01-01,-3.578479829,22.059721490751205
2002-01-01,-3.481178577,21.842149779750834
2003-01-01,-3.594787301,22.096186022421676
2004-01-01,-3.285923774,21.405547776214945
2005-01-01,-3.437583268,21.744667930589017
2006-01-01,-3.677629261,22.28142584831646
2007-01-01,-3.582284906,22.06822988192153
2009-01-01,-3.612467319,22.135719653158283
