sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
29.89,-14.121,123.5467277,1985-02-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
29.97,-14.121,123.5467277,1985-02-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
29.990000000000002,-14.121,123.5467277,1985-02-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
29.87,-14.121,123.5467277,1985-02-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.900000000000002,-14.121,123.5467277,1985-02-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.55,-14.121,123.5467277,1985-02-23,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.560000000000002,-14.121,123.5467277,1985-02-24,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.42,-14.121,123.5467277,1985-02-25,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.17,-14.121,123.5467277,1985-02-26,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
27.79,-14.121,123.5467277,1985-02-27,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.67,-14.121,123.5467277,1985-02-28,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Feb
28.85,-14.121,123.5467277,1985-03-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
28.990000000000002,-14.121,123.5467277,1985-03-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.16,-14.121,123.5467277,1985-03-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.14,-14.121,123.5467277,1985-03-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.28,-14.121,123.5467277,1985-03-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.25,-14.121,123.5467277,1985-03-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.48,-14.121,123.5467277,1985-03-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.19,-14.121,123.5467277,1985-03-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.13,-14.121,123.5467277,1985-03-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.400000000000002,-14.121,123.5467277,1985-03-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.69,-14.121,123.5467277,1985-03-11,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.64,-14.121,123.5467277,1985-03-12,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.64,-14.121,123.5467277,1985-03-13,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.17,-14.121,123.5467277,1985-03-14,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.47,-14.121,123.5467277,1985-03-15,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.2,-14.121,123.5467277,1985-03-16,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
28.53,-14.121,123.5467277,1985-03-17,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
28.01,-14.121,123.5467277,1985-03-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
28.46,-14.121,123.5467277,1985-03-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
28.75,-14.121,123.5467277,1985-03-20,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.01,-14.121,123.5467277,1985-03-21,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.68,-14.121,123.5467277,1985-03-22,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
30.25,-14.121,123.5467277,1985-03-23,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.78,-14.121,123.5467277,1985-03-24,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.63,-14.121,123.5467277,1985-03-25,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.18,-14.121,123.5467277,1985-03-26,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.43,-14.121,123.5467277,1985-03-27,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.67,-14.121,123.5467277,1985-03-28,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.7,-14.121,123.5467277,1985-03-29,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.740000000000002,-14.121,123.5467277,1985-03-30,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.740000000000002,-14.121,123.5467277,1985-03-31,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Mar
29.76,-14.121,123.5467277,1985-04-01,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.060000000000002,-14.121,123.5467277,1985-04-02,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
31.01,-14.121,123.5467277,1985-04-03,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.48,-14.121,123.5467277,1985-04-04,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.09,-14.121,123.5467277,1985-04-05,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.11,-14.121,123.5467277,1985-04-06,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.87,-14.121,123.5467277,1985-04-07,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.45,-14.121,123.5467277,1985-04-08,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.79,-14.121,123.5467277,1985-04-09,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.37,-14.121,123.5467277,1985-04-10,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
31.080000000000002,-14.121,123.5467277,1985-04-11,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
31.37,-14.121,123.5467277,1985-04-12,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.740000000000002,-14.121,123.5467277,1985-04-13,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.72,-14.121,123.5467277,1985-04-14,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.57,-14.121,123.5467277,1985-04-15,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
29.900000000000002,-14.121,123.5467277,1985-04-16,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.2,-14.121,123.5467277,1985-04-17,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.32,-14.121,123.5467277,1985-04-18,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
30.13,-14.121,123.5467277,1985-04-19,2021-06-01,Coral Core Sr/Ca Proxy,Browse Island,BRS07,1985-Apr
