year,HAB05B d18O,HAB05B Sr/Ca,HAB10A d18O,HAB10A Sr/Ca
1929,-3.872753518,9.246058751,-3.502390458,9.260837258
1930,-3.96495077,9.249591133,-3.428035433,9.217407878
1931,-3.773980443,9.255708644,-3.197862894,9.234552197
1932,-3.953496118,9.20216618,-3.336513146,
1933,-3.890013745,9.261609164,-3.419834512,
1934,-4.07511865,9.182754959,-3.641587438,9.158367588
1935,-3.84569076,9.200079003,-3.45712137,9.239996415
1936,-3.950682004,,-3.370191598,9.23158413
1937,-3.812081984,9.254102714,-3.46411949,9.215548189
1938,-3.838518473,9.236806899,-3.369754216,9.24419735
1939,-3.939712337,9.267650649,-3.579588469,9.218497278
1940,-3.884616895,9.268338553,-3.49834467,9.222148336
1941,-3.811376575,9.261511451,-3.375002806,9.209804062
1942,-3.869832598,9.267106289,-3.370957018,9.21389352
1943,-3.957467749,9.258738753,-3.856670281,9.167061814
1944,-3.853975309,9.299093089,-3.444984005,9.26600097
1945,-3.951939318,9.265955229,-3.615235142,9.240874785
1946,-3.947128026,9.280428368,-3.30316273,9.274120663
1947,-3.905571907,9.280327108,-3.705171919,9.184250115
1948,-4.004703042,,-3.583019188,9.172778239
1949,-3.96357267,9.207562139,-3.682810738,9.189106115
1950,-3.95274617,,-3.119899464,9.194725076
1951,-3.857082828,9.242500354,-3.532132468,9.144650651
1952,-3.89881103,,-3.733765799,9.124198582
1953,-3.901338654,9.261397953,-3.555423086,9.196081774
1954,-3.772500466,9.293133467,-2.904925966,9.152971938
1955,-3.907208275,9.268793567,-3.197124811,9.216786354
1956,-3.875923844,9.282563039,-3.453841001,9.25214152
1957,-3.853738727,9.257077508,-3.341761736,
1958,-4.003955161,9.21846456,-3.448920448,9.209691763
1959,-3.981020885,9.267203359,-3.364833663,9.206147477
1960,-3.787748962,9.243267696,-3.178713183,9.210649294
1961,-3.962348654,9.222374395,-3.509879728,9.182794384
1962,-4.015534183,9.227617832,-3.426276753,9.203802655
1963,-4.190458571,9.138537741,-3.61707418,9.178167108
1964,-3.921578364,9.162252695,-3.306036324,9.184477614
1965,-4.033212041,9.215895335,-3.212322715,9.157309437
1966,-3.94703761,9.154769581,-3.356698204,9.256889537
1967,-3.971586294,9.183221665,-3.1917753,9.204045875
1968,-3.868722971,9.219923869,,9.203762859
1969,-3.828123808,9.232300445,-2.991519539,9.23127798
1970,-3.964565432,9.21451012,-3.507814115,9.173174845
1971,-3.830150832,9.288885289,-3.388524955,9.177867847
1972,-3.983405875,9.181971636,-3.583760344,9.138356854
1973,-3.946564597,9.163029817,-3.682412786,9.145491061
1974,-3.98010792,9.166100825,-3.459000415,9.112522912
1975,-4.019627796,9.157697453,-3.668605793,9.092053573
1976,-4.070916456,9.181747049,-3.657299279,9.172055018
1977,-4.003539778,9.181236479,-3.631098607,9.107617587
1978,-4.169200615,9.115124634,-3.662300237,9.093605859
1979,-4.060442667,9.211446624,-3.636969297,9.13939408
1980,-4.03493859,9.161855939,-3.673715468,9.105296061
1981,-3.8668634,9.167664734,,9.117979284
1982,-3.896294958,9.160733175,-3.620335675,9.147555844
1983,-4.035591783,9.064188425,-3.511727909,9.170165651
1984,-3.958591329,,-3.279618218,9.168309267
1985,-3.944008934,9.133362747,-3.203081814,9.234966089
1986,-3.878408428,9.180775369,-2.966840898,9.228244775
1987,-3.929405078,,,9.083696937
1988,-3.980937614,9.1709541,-3.245046377,9.097189215
1989,-4.105895242,9.097081277,-3.863534447,9.088287794
1990,-4.079602183,9.104251908,-3.707308861,9.138660914
1991,-4.016775701,9.187517816,,
1992,-3.979621532,9.096084338,-3.397793035,9.096917118
1993,-3.907624976,9.245200765,-3.514622485,
1994,,9.144724741,-3.582624645,
1995,,9.157727108,-3.608920444,9.119854644
1996,,9.09922741,-3.648384527,9.062770733
1997,,9.192619788,-3.703068918,9.149997023
1998,,9.124461327,-3.626206365,9.160466058
1999,,9.073438378,-3.502487008,9.046781261
2000,,9.078696347,-3.795477928,9.092253198
2001,,9.190831348,-3.578479829,9.125593371
2002,,9.146647652,-3.481178577,9.157323895
2003,,9.170554743,-3.594787301,9.119826155
2004,,9.207279156,-3.285923774,9.147842868
2005,,9.175726648,-3.437583268,9.164837375
2006,,9.175053786,-3.677629261,9.172642055
2007,,9.151618387,-3.582284906,9.155936791
2008,,9.071749364,-3.891474583,9.120566528
2009,,9.152740196,-3.612467319,9.124146834
2010,,9.162696292,,9.12881193
