d18O,sst
-4.755888889,25.48373673638522
-4.964,27.058886760212626
-5.214,28.95108513474752
-5.125111111,28.278303489627465
-4.963179487,27.05267646675308
-4.543444444,23.87578860235335
-4.425948718,22.98648771534536
-4.381076923,22.646862365099505
-4.504941176,23.58436531785782
-4.593176471,24.252200044960244
-4.683058824,24.932501013944137
-4.874235294,26.379476237077416
-4.907333333,26.62998845946179
-4.739843137,25.362289752974863
-4.558470588,23.989518383362654
-4.378196078,22.625057844194362
-4.152705882,20.91836911481534
-4.288266667,21.944400702926036
-4.429933333,23.016646443449947
-4.5812,24.161552609124794
-4.739533333,25.35994491047396
-4.886866667,26.475080490912386
-5.078533333,27.925765906343283
-4.957733333,27.01145565176802
-4.7744,25.62384351296536
-4.6318,24.544533560130656
-4.4818,23.409214535409713
-4.49525,23.5110148079597
-4.51027451,23.624732221560432
-4.515176471,23.661834152105367
-4.524,23.72861762103121
-4.774,25.6208159955661
-5.024,27.513014370101
-5.0605,27.789275332783095
-5.07654902,27.910747051010606
-4.836352941,26.09275252999679
-4.599843137,24.302658663235317
-4.580235294,24.154250948624377
-4.603238095,24.328354399272175
-4.743428571,25.389427162522065
-4.954533333,26.98723551257397
-5.237866667,29.13172700875938
-5.260857143,29.305737174027318
-5.196809524,28.82097397176879
-4.952761905,26.973827939845147
-4.744,25.393752190621914
-4.577333333,24.132286605075723
-4.508285714,23.609679435326502
-4.490428571,23.474522407492753
-4.522533333,23.717516721377674
-4.555866667,23.96980984302819
-4.714,25.166688385677734
-4.964,27.058886760212626
-5.157533333,28.523700592696304
-5.0867000000000004,27.987577722434356
-5.015866667,27.451454852172393
-4.848033333,26.181159005022106
-4.6522,24.6989369474927
-4.466933333,23.29669180288111
-4.4211,22.949788770072647
-4.455583333,23.210785996677227
-4.494941176,23.508677382876424
-4.583176471,24.176512109978855
-4.672431373,24.85206403191354
-4.824392157,26.00222382582493
-4.976352941,27.152383619736323
-4.959666667,27.026088657576945
-4.933686275,26.82944843552824
-4.820941176,25.976104063269926
-4.505803922,23.590895264173167
-4.304823529,22.06971617238123
-4.3488,22.40256500015715
-4.39825,22.776841838640156
-4.445125,23.131629033865448
-4.539733333,23.847699969545676
-4.773066667,25.613751790824107
-4.988977778,27.247938403936995
-4.951916667,26.967430507966366
-4.863375,26.297276914462326
-4.736,25.3332018426368
-4.594695652,24.263698412235552
-4.5476,23.907241147587303
-4.6476,24.66412049740126
-4.7212,25.221183698864333
-4.775366667,25.631160015869828
-4.828066667,26.03003543322178
-4.919733333,26.723841498838713
-4.771566667,25.602398600576894
-4.5674,24.057103258850464
-4.290933333,21.964584147208544
-4.1826,21.144631520766353
-4.2105,21.355800859364447
-4.250431373,21.65803317569863
-4.436705882,23.06790646828698
-4.623607843,24.48252881549332
-4.849098039,26.18921754487234
-5.074588235,27.895906274251356
-5.03425,27.59059450345693
-4.979843137,27.178800192528353
-4.618039216,24.440381027662152
-4.495490196,23.512832801882777
-4.372941176,22.5852845761034
