year.x,month,day,mean temperature kelvin,sst,mean temperature uncertainty,fraction of sea-ice-covered ocean,Date,monthly_date,Latitude,Longitude,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year.y,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,DHW_value,dhw_threshold,accum_DHW_12weeks
2002,1,25,304.28998,31.1399780273438,0.27,0,2002-01-25,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.224332589505593,1.449978690967015,0.20713981299528786,1988,28.915645437838208,1985_to_1990,2.224332589505593,0.31776179850079905,1,1.4514836427979791
2002,1,26,304.44,31.2900024414063,0.25,0,2002-01-26,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.374357003568093,1.600003105029515,0.22857187214707356,1988,28.915645437838208,1985_to_1990,2.374357003568093,0.33919385765258475,1,1.7906775004505637
2002,1,27,304.54999,31.3999877929688,0.26,0,2002-01-27,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.484342355130593,1.709988456592015,0.2442840652274307,1988,28.915645437838208,1985_to_1990,2.484342355130593,0.3549060507329419,1,2.1455835511835057
2002,1,28,304.53998,31.3899780273438,0.26,0,2002-01-28,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.474332589505593,1.699978690967015,0.24285409870957356,1988,28.915645437838208,1985_to_1990,2.474332589505593,0.35347608421508475,1,2.4990596353985906
2002,1,29,304.37,31.2199951171875,0.3,0,2002-01-29,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.3043496793492935,1.5299957808107152,0.21857082583010218,1988,28.915645437838208,1985_to_1990,2.3043496793492935,0.32919281133561334,1,2.828252446734204
2002,1,30,304.31,31.1599975585938,0.66,0,2002-01-30,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.244352120755593,1.469998222217015,0.20999974603100213,1988,28.915645437838208,1985_to_1990,2.244352120755593,0.3206217315365133,1,3.148874178270717
2002,1,31,304.22998,31.07998046875,0.71,0,2002-01-31,2002-Jan,-14.0574,121.783,29.689999336376786,2019-01-01,2.1643350309117935,1.3899811323732152,0.1985687331961736,1988,28.915645437838208,1985_to_1990,2.1643350309117935,0.3091907187016848,1,3.458064896972402
2002,2,1,304.19,31.0400024414063,0.71,0,2002-02-01,2002-Feb,-14.0574,121.783,29.689999336376786,2019-01-01,2.124357003568093,1.350003105029515,0.19285758643278786,1988,28.915645437838208,1985_to_1990,2.124357003568093,0.30347957193829905,1,3.761544468910701
2002,2,2,304.13,30.9800048828125,0.74,0,2002-02-02,2002-Feb,-14.0574,121.783,29.689999336376786,2019-01-01,2.0643594449742935,1.2900055464357152,0.1842865066336736,1988,28.915645437838208,1985_to_1990,2.0643594449742935,0.2949084921391848,1,4.056452961049886
2002,2,3,303.88,30.7300048828125,0.76,0,2002-02-03,2002-Feb,-14.0574,121.783,29.689999336376786,2019-01-01,1.8143594449742935,1.0400055464357152,0.14857222091938788,1988,28.915645437838208,1985_to_1990,1.8143594449742935,0.25919420642489904,1,4.3156471674747845
