year.x,month,day,mean temperature kelvin,sst,mean temperature uncertainty,fraction of sea-ice-covered ocean,Date,monthly_date,Latitude,Longitude,mmm_climatology,mmm_climatology_as_at,hotspot,degree_heating_day_mmm_climatology,degree_heating_week_mmm_climatology,year.y,mmm_from_sst,mmm_from_sst_year_range,degree_heating_day_mmm_from_sst,DHW_value,dhw_threshold,accum_DHW_12weeks
1987,2,24,301.22998,28.07998046875,0.58,0,1987-02-24,1987-Feb,-13.6369,122.0267,29.70999933592975,2019-01-01,-0.8661109547137222,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,2,25,300.57999,27.4299865722656,0.24,0,1987-02-25,1987-Feb,-13.6369,122.0267,29.70999933592975,2019-01-01,-1.516104851198122,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,2,26,300.57001,27.4200073242188,0.23,0,1987-02-26,1987-Feb,-13.6369,122.0267,29.70999933592975,2019-01-01,-1.5260840992449225,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,2,27,300.60001,27.4500061035156,0.24,0,1987-02-27,1987-Feb,-13.6369,122.0267,29.70999933592975,2019-01-01,-1.496085319948122,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,2,28,300.97998,27.82998046875,0.23,0,1987-02-28,1987-Feb,-13.6369,122.0267,29.70999933592975,2019-01-01,-1.1161109547137222,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,3,1,301.23999,28.089990234375,0.18,0,1987-03-01,1987-Mar,-13.6369,122.0267,29.70999933592975,2019-01-01,-0.8561011890887222,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,3,2,301.37,28.2199951171875,0.18,0,1987-03-02,1987-Mar,-13.6369,122.0267,29.70999933592975,2019-01-01,-0.7260963062762222,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,3,3,301.32001,28.1700073242188,0.17,0,1987-03-03,1987-Mar,-13.6369,122.0267,29.70999933592975,2019-01-01,-0.7760840992449225,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,3,4,301.69,28.5400024414063,0.17,0,1987-03-04,1987-Mar,-13.6369,122.0267,29.70999933592975,2019-01-01,-0.4060889820574225,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
1987,3,5,301.78998,28.6399780273438,0.17,0,1987-03-05,1987-Mar,-13.6369,122.0267,29.70999933592975,2019-01-01,-0.3061133961199225,0,0,1988,28.946091423463724,1985_to_1990,0,0,1,6.251626944991932
