Year,core id,reef,country,lat,long,Sr/Ca,d18O,Sr/CaA,d18OA,Sr/Ca SST_A,d18O SST_A,Isotope,value,AVHRR_A,HadSST1_A,ERSST_A,AVHRR SST,HadSST1,ERSST,date,year,month
2005.4167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.189,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2005-06-02T02:17:31Z,2005,June
2005.5416,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.312,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2005-07-17T16:24:57Z,2005,July
2005.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.324,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2005-09-01T08:17:31Z,2005,September
2005.7667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.247,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2005-10-07T20:17:31Z,2005,October
2005.8667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.132,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2005-11-13T08:17:31Z,2005,November
2005.9667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.991,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2005-12-19T20:17:31Z,2005,December
2006.0667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.935,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-01-25T08:17:31Z,2006,January
2006.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.907,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-03-02T20:17:31Z,2006,March
2006.2667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.924,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-04-08T08:17:31Z,2006,April
2006.3667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.011,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-05-14T20:17:31Z,2006,May
2006.4667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.133,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-06-20T08:17:31Z,2006,June
2006.5667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.255,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-07-26T20:17:31Z,2006,July
2006.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.284,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-09-01T08:17:31Z,2006,September
2006.7292,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.18,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-09-24T03:47:31Z,2006,September
2006.7917,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.093,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-10-16T23:17:31Z,2006,October
2006.8542,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.022,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-11-08T18:47:31Z,2006,November
2006.9167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.971,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-12-01T14:17:31Z,2006,December
2006.9792,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.938,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2006-12-24T09:47:31Z,2006,December
2007.0417,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.949,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-01-16T05:17:31Z,2007,January
2007.1042,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.917,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-02-08T00:47:31Z,2007,February
2007.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.915,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-03-02T20:17:31Z,2007,March
2007.3333,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.022,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-05-02T15:42:28Z,2007,May
2007.5,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.167,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-07-02T12:00:00Z,2007,July
2007.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.286,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-09-01T08:17:31Z,2007,September
2007.75,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.266,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-10-01T18:00:00Z,2007,October
2007.8333,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.164,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-11-01T03:42:28Z,2007,November
2007.9167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.059,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2007-12-01T14:17:31Z,2007,December
2008,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.964,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-01-01T00:00:00Z,2008,January
2008.0833,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.873,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-01-31T11:42:25Z,2008,January
2008.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.864,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-03-02T00:17:34Z,2008,March
2008.2667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.902,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-04-07T14:41:34Z,2008,April
2008.3667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.995,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-05-14T05:05:34Z,2008,May
2008.4667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.118,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-06-19T19:29:34Z,2008,June
2008.5667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.231,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-07-26T09:53:34Z,2008,July
2008.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.268,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-09-01T00:17:34Z,2008,September
2008.7667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.158,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-10-07T14:41:34Z,2008,October
2008.8667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.049,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-11-13T05:05:34Z,2008,November
2008.9667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.905,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2008-12-19T19:29:34Z,2008,December
2009.0667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.856,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-01-25T08:17:31Z,2009,January
2009.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.852,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-03-02T20:17:31Z,2009,March
2009.2917,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.933,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-04-17T11:17:31Z,2009,April
2009.4167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.061,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-06-02T02:17:31Z,2009,June
2009.5417,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.212,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-07-17T17:17:31Z,2009,July
2009.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.308,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-09-01T08:17:31Z,2009,September
2009.7381,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.281,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-09-27T09:45:21Z,2009,September
2009.8095,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.137,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-10-23T11:13:12Z,2009,October
2009.881,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.041,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-11-18T13:33:36Z,2009,November
2009.9524,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.982,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2009-12-14T15:01:26Z,2009,December
2010.0238,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.995,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-01-09T16:29:16Z,2010,January
2010.0952,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.959,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-02-04T17:57:07Z,2010,February
2010.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.94,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-03-02T20:17:31Z,2010,March
2010.2917,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.995,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-04-17T11:17:31Z,2010,April
2010.4167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.069,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-06-02T02:17:31Z,2010,June
2010.5417,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.206,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-07-17T17:17:31Z,2010,July
2010.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.297,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-09-01T08:17:31Z,2010,September
2010.8333,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.257,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2010-11-01T03:42:28Z,2010,November
2011,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.122,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-01-01T00:00:00Z,2011,January
2011.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.039,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-03-02T20:17:31Z,2011,March
2011.3333,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.053,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-05-02T15:42:28Z,2011,May
2011.5,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.194,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-07-02T12:00:00Z,2011,July
2011.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.264,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-09-01T08:17:31Z,2011,September
2011.7917,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.125,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-10-16T23:17:31Z,2011,October
2011.9167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.992,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2011-12-01T14:17:31Z,2011,December
2012.0417,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.91,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-01-16T06:17:34Z,2012,January
2012.1667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.864,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-03-02T00:17:34Z,2012,March
2012.2917,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,8.893,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-04-16T18:17:34Z,2012,April
2012.4167,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.036,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-06-01T12:17:34Z,2012,June
2012.5417,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.209,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-07-17T06:17:34Z,2012,July
2012.6667,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.234,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-09-01T00:17:34Z,2012,September
2012.8333,13BND,Ningaloo Bundegi,Australia,-21.52,114.09,9.088,-999,-999,-999,-999,-999,d18O,-999,NA,NA,NA,NA,NA,NA,2012-10-31T23:42:25Z,2012,October
