sst,Latitude,Longitude,Date,end_date,Data_Type,Site,Reef_Site,date
27.37,-21.91,113.97,1985-02-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
28.060000000000002,-21.91,113.97,1985-02-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
28.990000000000002,-21.91,113.97,1985-02-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
28.87,-21.91,113.97,1985-02-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
28.78,-21.91,113.97,1985-02-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.25,-21.91,113.97,1985-02-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.38,-21.91,113.97,1985-02-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.400000000000002,-21.91,113.97,1985-02-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
30.47,-21.91,113.97,1985-02-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
30.76,-21.91,113.97,1985-02-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
30.240000000000002,-21.91,113.97,1985-02-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.8,-21.91,113.97,1985-02-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.34,-21.91,113.97,1985-02-24,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.16,-21.91,113.97,1985-02-25,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.05,-21.91,113.97,1985-02-26,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
28.96,-21.91,113.97,1985-02-27,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
28.88,-21.91,113.97,1985-02-28,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Feb
29.41,-21.91,113.97,1985-03-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
30.23,-21.91,113.97,1985-03-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
30.27,-21.91,113.97,1985-03-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
30.03,-21.91,113.97,1985-03-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
29.92,-21.91,113.97,1985-03-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
29.6,-21.91,113.97,1985-03-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
29.48,-21.91,113.97,1985-03-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
29.330000000000002,-21.91,113.97,1985-03-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.28,-21.91,113.97,1985-03-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.900000000000002,-21.91,113.97,1985-03-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.38,-21.91,113.97,1985-03-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.810000000000002,-21.91,113.97,1985-03-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.43,-21.91,113.97,1985-03-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.36,-21.91,113.97,1985-03-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.400000000000002,-21.91,113.97,1985-03-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.42,-21.91,113.97,1985-03-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.060000000000002,-21.91,113.97,1985-03-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.17,-21.91,113.97,1985-03-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.43,-21.91,113.97,1985-03-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.6,-21.91,113.97,1985-03-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
26.92,-21.91,113.97,1985-03-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
26.2,-21.91,113.97,1985-03-22,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27,-21.91,113.97,1985-03-23,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.51,-21.91,113.97,1985-03-24,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.19,-21.91,113.97,1985-03-25,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.68,-21.91,113.97,1985-03-26,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.78,-21.91,113.97,1985-03-27,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.8,-21.91,113.97,1985-03-28,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
27.91,-21.91,113.97,1985-03-29,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
28.97,-21.91,113.97,1985-03-30,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
29.55,-21.91,113.97,1985-03-31,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Mar
29.92,-21.91,113.97,1985-04-01,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
29.34,-21.91,113.97,1985-04-02,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
29.2,-21.91,113.97,1985-04-03,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
29.5,-21.91,113.97,1985-04-04,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
29.6,-21.91,113.97,1985-04-05,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
29.68,-21.91,113.97,1985-04-06,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
29.310000000000002,-21.91,113.97,1985-04-07,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.39,-21.91,113.97,1985-04-08,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.36,-21.91,113.97,1985-04-09,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.490000000000002,-21.91,113.97,1985-04-10,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.48,-21.91,113.97,1985-04-11,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.12,-21.91,113.97,1985-04-12,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.04,-21.91,113.97,1985-04-13,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.57,-21.91,113.97,1985-04-14,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.67,-21.91,113.97,1985-04-15,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
28.59,-21.91,113.97,1985-04-16,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
27.29,-21.91,113.97,1985-04-17,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
27.240000000000002,-21.91,113.97,1985-04-18,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
27.03,-21.91,113.97,1985-04-19,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
26.32,-21.91,113.97,1985-04-20,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
25.900000000000002,-21.91,113.97,1985-04-21,2021-06-01,Coral Core Sr/Ca Proxy,Ningaloo Reef,Tantabiddi (13TNT),1985-Apr
